b
46.517873 39.523618
46.514876 39.540086
46.502631 39.552993
46.486046 39.561356
46.469927 39.564092
46.505366 39.597469
46.557449 39.618556
46.557449 39.645039
46.551249 39.659030
46.541846 39.666928
46.541846 39.672258
46.541846 39.690366
46.545007 39.692188
46.547219 39.693464
46.568299 39.693464
46.572949 39.701207
46.571347 39.712100
46.561272 39.732389
46.558465 39.746147
46.557449 39.751128
46.560549 39.780709
46.555072 39.799501
46.543396 39.812717
46.545617 39.832179
46.527689 39.843124
46.503613 39.874305
46.488733 39.892167
46.472303 39.896142
46.456080 39.906261
46.451327 39.916379
46.448950 39.931970
46.448950 39.946559
46.448950 39.950710
46.428697 39.964803
46.409064 39.984214
46.399144 40.003728
46.388914 40.019371
46.381061 40.023914
46.368558 40.025462
46.347581 40.023139
46.336525 40.022365
46.327948 40.026288
46.327948 40.033309
46.337351 40.048126
46.357708 40.072286
46.365458 40.079255
46.368558 40.087877
46.359981 40.095672
46.348408 40.090974
46.337351 40.084779
46.327121 40.084779
46.320198 40.089425
46.321748 40.094898
46.327948 40.100370
46.324021 40.106565
46.307695 40.106565
46.303768 40.109662
46.309245 40.121381
46.313068 40.129176
46.305990 40.133823
46.307695 40.146368
46.300513 40.149517
46.296018 40.143218
46.292092 40.134597
46.288269 40.133823
46.282017 40.140895
46.284342 40.172903
46.298395 40.179046
46.308418 40.184570
46.309245 40.204032
46.305318 40.228244
46.343173 40.212788
46.401242 40.218898
46.455307 40.246385
46.452980 40.267221
46.513636 40.293653
46.531478 40.304219
46.534819 40.306198
46.544894 40.315439
46.545627 40.318399
46.547219 40.324834
46.560549 40.334178
46.565809 40.334178
46.573672 40.334178
46.577315 40.337578
46.585400 40.345123
46.605860 40.355241
46.640115 40.365360
46.651068 40.366908
46.663571 40.373981
46.675144 40.383274
46.686924 40.387197
46.693951 40.391120
46.717407 40.397315
46.742535 40.387609
46.771071 40.376586
46.796027 40.349383
46.832327 40.315379
46.861821 40.297243
46.895913 40.289781
46.903767 40.285806
46.913945 40.285032
46.925621 40.281934
46.932648 40.274139
46.938021 40.265672
46.959204 40.258600
46.970984 40.257825
46.981731 40.248533
46.998987 40.239137
47.008287 40.231290
47.002087 40.227470
46.978683 40.223598
46.960031 40.226696
46.939675 40.232839
46.930220 40.237588
46.919422 40.236814
46.913118 40.228967
46.913945 40.219623
46.924072 40.208730
46.923542 40.206375
46.921798 40.198612
46.915745 40.193757
46.913945 40.192314
46.898342 40.186119
46.891315 40.183021
46.883617 40.180698
46.870390 40.186893
46.863261 40.186119
46.850034 40.181472
46.817949 40.163507
46.811749 40.157260
46.812576 40.151840
46.821153 40.145593
46.820562 40.141133
46.820326 40.139347
46.814293 40.138948
46.808598 40.138572
46.794596 40.142444
46.781266 40.137746
46.760962 40.120607
46.749337 40.102693
46.737557 40.084779
46.740709 40.076158
46.754090 40.068362
46.755640 40.063716
46.739934 40.055869
46.724227 40.048900
46.723053 40.047901
46.709554 40.036407
46.691574 40.030986
46.668118 40.028560
46.670494 40.021642
46.671321 40.012298
46.690024 40.013072
46.709526 40.012327
46.710277 40.012298
46.734457 40.007652
46.757913 40.006877
46.792943 40.006877
46.804723 40.004503
46.816399 39.995107
46.828851 39.984214
46.835206 39.962480
46.833553 39.944463
46.831972 39.939897
46.827353 39.926549
46.824149 39.906261
46.830453 39.904712
46.834482 39.908687
46.842904 39.915605
46.842904 39.908687
46.846056 39.903112
46.857316 39.915032
46.870390 39.928872
46.886665 39.939817
46.893589 39.939042
46.898342 39.934396
46.904645 39.928872
46.916322 39.923452
46.920248 39.917154
46.920248 39.891393
46.912395 39.871156
46.901442 39.850867
46.892865 39.841523
46.882327 39.837330
46.881189 39.836877
46.866412 39.827533
46.857836 39.818912
46.857836 39.811942
46.861107 39.808642
46.863261 39.806470
46.873439 39.807244
46.893589 39.816589
46.910070 39.822009
46.920248 39.829856
46.924072 39.837600
46.927895 39.854068
46.934921 39.864083
46.948251 39.872705
46.990256 39.882100
47.002914 39.880552
47.022340 39.870382
47.036290 39.871156
47.068427 39.876577
47.080930 39.875028
47.109036 39.857940
47.136316 39.842349
47.155742 39.836103
47.165620 39.835404
47.166695 39.835328
47.172172 39.838426
47.193823 39.798078
47.155085 39.761825
47.088036 39.728349
47.014283 39.681112
46.950586 39.683690
46.906339 39.699408
46.867334 39.709888
46.812578 39.716758
46.752446 39.705322
46.721668 39.682320
46.686924 39.654384
46.672044 39.654384
46.655718 39.650563
46.652184 39.618972
46.651791 39.615459
46.646366 39.595996
46.628810 39.588609
46.615160 39.582835
46.615024 39.582776
46.567440 39.549670
46.517873 39.523618
b
33.899720 35.058980
33.906023 35.055857
33.918527 35.052708
33.934233 35.049662
33.956036 35.058232
34.002019 35.049662
34.005396 35.053731
34.005396 35.053731
34.015009 35.046992
b
32.704690 35.171457
32.704756 35.171450
32.703960 35.165146
32.706078 35.153273
32.713932 35.143206
32.724885 35.133036
32.737336 35.127615
32.752991 35.123640
32.788124 35.116671
32.807654 35.106501
32.823257 35.090136
32.832557 35.069847
32.848263 35.069073
32.854360 35.077694
32.863763 35.087864
32.870066 35.090136
32.881743 35.092510
32.905096 35.090136
32.916049 35.088639
32.927674 35.090136
32.940229 35.092510
32.962859 35.102680
32.982389 35.121317
33.007292 35.131487
33.024445 35.139282
33.049399 35.145529
33.071978 35.154925
33.089131 35.159571
33.102409 35.148627
33.113414 35.150175
33.135217 35.170464
33.150768 35.175110
33.183525 35.179756
33.217263 35.168967
33.233486 35.161120
33.264072 35.158797
33.292850 35.152498
33.308505 35.151724
33.319458 35.156473
33.338058 35.156473
33.367766 35.164166
33.374018 35.168089
33.381767 35.178207
33.393547 35.187552
33.406774 35.189204
33.414627 35.183680
33.417727 35.172013
33.420930 35.157971
33.433227 35.138508
33.444180 35.122091
33.462987 35.094059
33.470013 35.084715
33.470013 35.066750
33.470013 35.047339
33.464537 35.028496
33.459060 35.004387
33.459783 34.995094
33.470013 34.992720
33.470013 34.998966
33.471563 35.009085
33.474663 35.021578
33.479416 35.028496
33.487063 35.046564
33.493366 35.051211
33.500393 35.051211
33.509641 35.049662
33.522196 35.045738
33.528396 35.046564
33.529998 35.056683
33.533872 35.062981
33.540072 35.062981
33.548649 35.056683
33.554952 35.048113
33.559602 35.033297
33.572157 35.025450
33.584712 35.023901
33.595458 35.031645
33.607238 35.036394
33.630695 35.020804
33.645368 35.020804
33.649295 35.022352
33.664174 35.020804
33.672609 35.023865
b
48.929233 11.150601
48.929233 11.038343
48.929233 10.926110
48.929233 10.813801
48.929233 10.701646
48.929233 10.589362
48.929233 10.477104
48.929233 10.364769
48.929233 10.252562
48.929233 10.140304
48.929233 10.028020
48.929233 9.915814
48.929233 9.803633
48.929233 9.691324
48.929233 9.579040
48.929233 9.578138
48.929233 9.466782
48.869248 9.375948
48.809471 9.285114
48.749383 9.194332
48.689399 9.103602
48.629518 9.012665
48.569378 8.921934
48.509394 8.831100
48.449461 8.740163
48.389529 8.649484
48.329389 8.558547
48.269353 8.467714
48.209421 8.376957
48.149281 8.286149
48.089349 8.195341
48.029416 8.104404
47.969483 8.013571
47.827040 8.013519
47.644297 8.013519
47.513995 8.013519
47.356517 8.013519
47.201053 8.013519
47.058610 8.013519
46.969744 8.013571
46.911052 8.042584
46.847916 8.063698
46.764113 8.091834
46.680104 8.119866
46.596302 8.148002
46.512293 8.176085
46.428335 8.204169
46.344481 8.232253
46.260472 8.260311
46.176566 8.288369
46.092609 8.316427
46.008755 8.344563
45.924849 8.372647
45.840943 8.400731
45.757141 8.428814
45.673132 8.456872
45.589226 8.484956
45.505217 8.513040
45.416971 8.541950
45.328932 8.570860
45.240738 8.599692
45.152648 8.628525
45.064454 8.657512
44.976466 8.686370
44.888221 8.715229
44.800182 8.744113
44.712039 8.773022
44.624000 8.801932
44.535755 8.830791
44.447715 8.859700
44.359573 8.888585
44.271431 8.917494
